,user_id,tw_text,comp_text,pos,neg,RT,good
0,xxxxkym51,今日16時まで在宅勤務なんだけど、どうもやる気がでなくて困ってる🐢,"今日,16,時,まで,在宅,勤務,だ,ん,だ,けど,、,どうも,やる気,が,だ,ない,て,困る,てる,🐢,",False,True,0,0
1,tarotyann21,"腹まじ痛すぎてもがき苦しむ

在宅勤務辞めたい
久々これは痛いな","腹,まじ,痛い,すぎる,て,も,がき,苦しむ,在宅,勤務,辞める,たい,久々,これ,は,痛い,な,",False,True,0,0
2,nemunemuai,昨日在宅勤務で、職場とやり取りしたのだが、苛々している方が多い気がした。職場でなければできない仕事が多く、週二回の出勤でこなさねばならない。更に上部からは普段の期限で調べ物ガンガン。４月異動者は前任者と連絡が取りづらい。普段明るい人からの八つ当たりも嫌味も納得して飲み込んだ。,"昨日,在宅,勤務,で,、,職場,と,やり取り,する,た,の,だ,が,、,苛,々,する,て,いる,方,が,多い,気,が,する,た,。,職場,だ,ない,ば,できる,ない,仕事,が,多い,、,週,二,回,の,出勤,で,こなす,ぬ,ば,なる,ない,。,更に,上部,から,は,普段,の,期限,で,調べ,物,ガンガン,。,４月,異動,者,は,前任,者,と,連絡,が,取る,づらい,。,普段,明るい,人,から,の,八つ,当たり,も,嫌味,も,納得,する,て,飲み込む,だ,。,",False,True,0,0
3,kynmstr,"チャリで片道40分ぐらいかけて母の日を口実にケーキを買ってきた。
途中で神社の横を通ったので、通りすがりに「早くコロナが収束しますように。でも在宅勤務は永遠に続きますように」とお願いした。
「さすがに図々しい」という気持ちになったので神様から返事あった。","チャリ,で,片道,40,分,ぐらい,かける,て,母,の,日,を,口実,に,ケーキ,を,買う,て,くる,た,。,途中,で,神社,の,横,を,通る,た,ので,、,通りすがり,に,「,早い,コロナ,が,収束,する,ます,よう,に,。,でも,在宅,勤務,は,永遠,に,続く,ます,よう,に,」,と,お願い,する,た,。,「,さすが,に,図々しい,」,という,気持ち,に,なる,た,ので,神様,から,返事,ある,た,。,",False,True,0,1
4,Momosand323,旦那様が在宅勤務になり子供らが休校になって一番困っているのは朝のリズムが変わり便秘になった事。ツライ。,"旦那,様,が,在宅,勤務,に,なる,子供,ら,が,休校,に,なる,て,一番,困る,て,いる,の,は,朝,の,リズム,が,変わる,便秘,に,なる,た,事,。,ツライ,。,",False,True,0,0
5,new_humanity23,"9:30くらいに🙄寝られました

ダラを諦めて洗濯、朝ごはん掃除して、在宅勤務の人に水筒渡した後は無視していた👹私もごろり…🥱

…10:30くらいに起きた気配したけど

お互いのため…！と思って寝てたら、また寝てる😭

すこし休… https://t.co/NWSj9wFXfJ","9,:,30,くらい,に,🙄,寝る,られる,ます,た,ダラ,を,諦める,て,洗濯,、,朝,ごはん,掃除,する,て,、,在宅,勤務,の,人,に,水筒,渡す,た,後,は,無視,する,て,いる,た,👹,私,も,ごろ,り,…,🥱,…,10,:,30,くらい,に,起きる,た,気配,する,た,けど,お互い,の,ため,…,！,と,思う,て,寝る,てる,た,、,また,寝る,てる,😭,すこし,休,…,https,://,t,.,co,/,NWSj,9,wFXfJ,",False,True,0,0
6,kimtoshi,"運悪く計画していた、5月から本社移転が行われた。
本社の管理部門のスタッフは大半が在宅勤務。もうオフィスいらない？
という事でフリーアドレスなオフィスになりました。","運,悪い,計画,する,て,いる,た,、,5,月,から,本社,移転,が,行う,れる,た,。,本社,の,管理,部門,の,スタッフ,は,大半,が,在宅,勤務,。,もう,オフィス,いる,ない,？,という,事,で,フリー,アドレス,だ,オフィス,に,なる,ます,た,。,",False,True,0,0
7,Jonne_bb,在宅勤務の良いところ、無茶苦茶な要求された時に大声で叫んでも近所迷惑だけで済むこと,"在宅,勤務,の,良い,ところ,、,無茶苦茶,だ,要求,する,れる,た,時,に,大声,で,叫ぶ,で,も,近所,迷惑,だけ,で,済む,こと,",False,True,0,0
8,4I5CsbuUdyLhbkt,"うちはこの自粛期間中のご飯作り事情は、

平日朝食→各自セルフで
(私は早朝から仕事に出ているため)
昼食→私は仕事でいないので、在宅勤務の旦那が基本用意。と言っても、カップ麺とかスパゲティ茹でてソースかけるだけとか簡単なやつ。
皿洗いは子ども。","うち,は,この,自粛,期間,中,の,ご飯,作り,事情,は,、,平日,朝食,→,各自,セルフ,で,(,私,は,早朝,から,仕事,に,出る,て,いる,ため,),昼食,→,私,は,仕事,で,いる,ない,ので,、,在宅,勤務,の,旦那,が,基本,用意,。,と,言う,て,も,、,カップ,麺,とか,スパゲティ,茹でる,て,ソース,かける,だけ,とか,簡単,だ,やつ,。,皿洗い,は,子ども,。,",False,True,0,0
9,batb_moeko,"完全に曇ってるから布団干すのは諦め。。。
まぁ来週はずーっと在宅勤務なので、布団はそのときに干そうな…","完全,に,曇る,てる,から,布団,干す,の,は,諦める,。,。,。,まぁ,来週,は,ずーっと,在宅,勤務,だ,ので,、,布団,は,その,とき,に,干す,う,な,…,",False,True,0,0
10,yuu82474249,"明日仕事嫌だなあ
ペアの先輩は仕事できて優しくていいんだけど仕事に行きたくないなあ

1ヶ月在宅勤務とかしてみたい。","明日,仕事,嫌,だ,なあ,ペア,の,先輩,は,仕事,できる,て,優しい,て,いい,ん,だ,けど,仕事,に,行く,たい,ない,なあ,1,ヶ月,在宅,勤務,とか,する,て,みる,たい,。,",False,True,0,0
11,sujikomonster,"自粛生活と在宅勤務に慣れてしまったので、朝早くから満員電車に乗って12時間くらい働く毎日に戻るかと思うと復帰出来るかとても心配です

とハンモックでダラダラしながらツイートしています","自粛,生活,と,在宅,勤務,に,慣れる,て,しまう,た,ので,、,朝,早くから,満員,電車,に,乗る,て,12,時間,くらい,働く,毎日,に,戻る,か,と,思う,と,復帰,出来る,か,とても,心配,です,と,ハンモック,で,ダラダラ,する,ながら,ツイート,する,て,いる,ます,",False,True,0,4
12,jagabataoisii,請求書発行してあげるから印刷・検印・発送は自分でやってくれないかなあ…なんでこれだけのために私が会社に行かなきゃならないの。私だって家族と住んでるからもしものことを考えると怖いし在宅勤務したいよ,"請求,書,発行,する,て,あげる,から,印刷,・,検印,・,発送,は,自分,で,やる,て,くれる,ない,か,なあ,…,なんで,これ,だけ,の,ため,に,私,が,会社,に,行く,ない,なる,ない,の,。,私,だって,家族,と,住む,でる,から,もしも,の,こと,を,考える,と,怖い,し,在宅,勤務,する,たい,よ,",False,True,0,0
13,seabookyarno,"在宅勤務になってから毎朝超早くに犬が顔舐め&amp;切なげ鳴き声攻撃にて朝ごはんをせがんでくるクセがついてしまって、毎日寝不足💀

完全にこいつメシくれるやつや！鳴いたらかわいそーおもてくれるんやで！ってなってるなw

でもあげないならあげないで延々やり続けられる地獄U・x・U","在宅,勤務,に,なる,て,から,毎朝,超,早く,に,犬,が,顔,舐める,&,amp,;,切ない,げ,鳴き声,攻撃,にて,朝,ごはん,を,せがむ,で,くる,クセ,が,つく,て,しまう,て,、,毎日,寝不足,💀,完全,に,こいつ,メシ,くれる,やつ,や,！,鳴く,た,かわいい,そ,ー,おもい,て,くれる,ん,や,で,！,って,なる,てる,な,w,でも,あげる,ない,だ,あげる,ない,で,延々,やる,続ける,られる,地獄,U,・,x,・,U,",False,True,0,2
14,SaysXwraehYBGu5,"家政婦ミタゾノ見ながらカップ麺食べて
今起きました。
おそようございます。

こんな感じで生活してるから月曜からの在宅勤務不安で仕方ない😢","家政,婦,ミタゾノ,見る,ながら,カップ,麺,食べる,て,今,起きる,ます,た,。,おそい,よう,ござる,ます,。,こんな,感じ,で,生活,する,てる,から,月曜,から,の,在宅,勤務,不安,だ,仕方,ない,😢,",False,True,0,1
15,yotsugiyon,弊社、来月のオチン○ンは通勤の交通費を実費精算とする（定期代ではなく）という通達が来たので、在宅勤務だと手取りが2万円強目減りするの辛い…,"弊社,、,来月,の,オチン,○,ン,は,通勤,の,交通,費,を,実費,精算,と,する,（,定期,代,で,は,ない,）,という,通達,が,来る,た,ので,、,在宅,勤務,だ,と,手取り,が,2,万,円,強,目減り,する,の,辛い,…,",False,True,1,5
16,TaniEvo3106,"「在宅勤務が辛い」と会社に言ったら、「じゃ会社辞めて」と言われた
｡ﾟ(ﾟ´Д｀ﾟ)ﾟ｡","「,在宅,勤務,が,辛い,」,と,会社,に,言う,た,、,「,じゃ,会社,辞める,て,」,と,言う,れる,た,｡,ﾟ,(,ﾟ,´,Д,｀,ﾟ,),ﾟ,｡,",False,True,0,0
17,3bineko,久しぶりの二日続けての出勤だった。コロナ前より電話対応は減ってて、自分の仕事が中断される回数は少ないはずなのに疲れたー。在宅勤務に慣れちゃうと、通常モードに戻ったときが恐ろしい。猫ともっと一緒にいたいし、在宅の仕事に転職したくなる。,"久しぶり,の,二,日,続ける,て,の,出勤,だ,た,。,コロナ,前,より,電話,対応,は,減る,てる,て,、,自分,の,仕事,が,中断,する,れる,回数,は,少ない,はず,だ,の,に,疲れる,た,ー,。,在宅,勤務,に,慣れる,ちゃう,と,、,通常,モード,に,戻る,た,とき,が,恐ろしい,。,猫,と,もっと,一緒,に,いる,たい,し,、,在宅,の,仕事,に,転職,する,たい,なる,。,",False,True,0,1
18,mochifutomomo,在宅勤務でも保育園に預ける人には預ける人なりの事情があるだろうからなぁ。子供の性格とか親子の相性それぞれだし。しんどいかしんどくないかって他人には計り知れないよね。,"在宅,勤務,で,も,保育園,に,預ける,人,に,は,預ける,人,なり,の,事情,が,ある,だ,う,から,なぁ,。,子供,の,性格,とか,親子,の,相性,それぞれ,だし,。,しんどい,か,しんどい,ない,か,って,他人,に,は,計る,知れる,ない,よ,ね,。,",False,True,0,1
19,a3u1o1wakaa,旦那が在宅になって1ヶ月くらい。本人もだいぶ慣れてきて電車に乗るのが嫌だと言い始めた。なのに！会社は遅くても来月までにはコロナ前の勤務に戻せと言い始めてる。結局リモートはデフォにはならないんだな。マネージングする人がどうしても目の前で管理したいようだ。給料は成果なのにね。トホホ,"旦那,が,在宅,に,なる,て,1,ヶ月,くらい,。,本人,も,だいぶ,慣れる,て,くる,て,電車,に,乗る,の,が,嫌,だ,と,言う,始める,た,。,だ,のに,！,会社,は,遅い,て,も,来月,まで,に,は,コロナ,前,の,勤務,に,戻す,と,言う,始める,てる,。,結局,リモート,は,デフォ,に,は,なる,ない,ん,だ,な,。,マネージング,する,人,が,どうしても,目,の,前,で,管理,する,たい,よう,だ,。,給料,は,成果,だ,のに,ね,。,トホホ,",False,True,0,1
20,Momoko_momoco,"withコロナやafterコロナで本当に在宅勤務は増えるのかな。
増えて欲しいけど、「家に居たくない
居場所ない」な人も実のところ結構いる気がしているので、在宅勤務イイね！派(保育園学校はもちろん通常営業の前提)との壮絶な主権争いが起こりそう。","with,コロナ,や,after,コロナ,で,本当に,在宅,勤務,は,増える,の,か,な,。,増える,て,欲しい,けど,、,「,家,に,居る,たい,ない,居場所,ない,」,だ,人,も,実,の,ところ,結構,いる,気,が,する,て,いる,ので,、,在宅,勤務,イイ,ね,！,派,(,保育園,学校,は,もちろん,通常,営業,の,前提,),と,の,壮絶,だ,主権,争い,が,起こる,そう,。,",False,True,0,1
21,JKL_Presto,一方で在宅勤務は通勤途中にJKを眺めるという僕の精神安定剤が（ｙ,"一方,で,在宅,勤務,は,通勤,途中,に,JK,を,眺める,という,僕,の,精神,安定,剤,が,（,ｙ,",False,True,0,0
22,mamedai0930,家庭保育で在宅勤務も厳しいし、小学生はどれだけリソースを家庭学習のフォローにさけたかというのが後に響きそうだし、友達と遊びたい気持ちのやりどころのフォローも要りますよね。う…みんなつらい。。。仕事を失ってもつらいしこの状況で仕事が増えてもつらい。つらいつらい。,"家庭,保育,で,在宅,勤務,も,厳しい,し,、,小学生,は,どれ,だけ,リソース,を,家庭,学習,の,フォロー,に,さける,た,か,という,の,が,後,に,響く,そう,だ,し,、,友達,と,遊ぶ,たい,気持ち,の,やる,どころ,の,フォロー,も,要る,ます,よ,ね,。,う,…,みんな,つらい,。,。,。,仕事,を,失う,て,も,つらい,し,この,状況,で,仕事,が,増える,て,も,つらい,。,つらい,つらい,。,",False,True,0,2
23,suzukiri0713,"今日は月一の歯医者さん。
もう数年こうしていると虫歯はできなくなりましたが
在宅勤務始まって、眠りが浅いせいか奥歯がシクシク痛い…。","今日,は,月,一,の,歯医者,さん,。,もう,数,年,こう,する,て,いる,と,虫歯,は,できる,ない,なる,ます,た,が,在宅,勤務,始まる,て,、,眠り,が,浅い,せい,か,奥歯,が,シクシク,痛い,…,。,",False,True,0,1
24,3554g,旦那の職場が自宅待機もしくた在宅勤務にならない怒りと、仕事の事だけ考えられる環境に羨望と、確かに家にいるけど仕事をしている場所が自宅なだけで保育ができる状況ではないのに何故私ばかり子供の事で心身を削らねばならないのだという絶望と。,"旦那,の,職場,が,自宅,待機,も,しく,た,在宅,勤務,に,なる,ない,怒り,と,、,仕事,の,事,だけ,考える,られる,環境,に,羨望,と,、,確か,に,家,に,いる,けど,仕事,を,する,て,いる,場所,が,自宅,だ,だけ,で,保育,が,できる,状況,で,は,ない,のに,何故,私,ばかり,子供,の,事,で,心身,を,削る,ぬ,ば,なる,ない,の,だ,という,絶望,と,。,",False,True,0,4
25,yu_goodwan,夫の在宅勤務コーナーがとても充実して、今後もずっとそこで暮らすのではないかと不安しかありません。,"夫,の,在宅,勤務,コーナー,が,とても,充実,する,て,、,今後,も,ずっと,そこ,で,暮らす,の,だ,は,ない,か,と,不安,しか,ある,ます,ん,。,",False,True,0,0
26,frelia0014,"最近腹の調子がすこぶる悪い。
在宅勤務前より食事には気を使っているんだが…","最近,腹,の,調子,が,すこぶる,悪い,。,在宅,勤務,前,より,食事,に,は,気,を,使う,て,いる,ん,だ,が,…,",False,True,0,0
27,tkdnrm1215,在宅勤務が5月末まで延びたけど、まだまだ不安ですねえ🐒💭,"在宅,勤務,が,5,月,末,まで,延びる,た,けど,、,まだまだ,不安,です,ねえ,🐒💭,",False,True,0,0
28,moka_snow8,"会社に行けばお昼が食べれる
給料天引き
麺だけ避ければいい
在宅勤務だと、お昼は自分で
悩む
こまる
主婦大変だなとおもう
さて、お昼は何たべる？","会社,に,行く,ば,お昼,が,食べる,れる,給料,天引き,麺,だけ,避ける,ば,いい,在宅,勤務,だ,と,、,お昼,は,自分,で,悩む,こまる,主婦,大変,だ,な,と,おもう,さ,て,、,お昼,は,何,たべる,？,",False,True,0,0
29,msrsmbkr,そういや在宅勤務時の交通費ってどうすんだろうね。面倒だから普通は精算しないだろうけど。,"そういや,在宅,勤務,時,の,交通,費,って,どう,する,だ,う,ね,。,面倒,だ,から,普通,は,精算,する,ない,だ,う,けど,。,",False,True,0,1
30,shoronoikuji,会社から夜にメールが来てやはり5月末日まで在宅勤務が正式に決まりました。とは言え6月からの活動も通常通りとはいかなそうで不安しかない。,"会社,から,夜,に,メール,が,来る,て,やはり,5,月,末日,まで,在宅,勤務,が,正式,に,決まる,ます,た,。,と,は,言える,6,月,から,の,活動,も,通常,通り,と,は,いく,ない,そう,だ,不安,しか,ない,。,",False,True,0,5
